File: d11_unary.test
Type: cpu
Time: 2026-09-06 17:00:38 IST
Duration: 1.62s, Total samples = 610ms (37.73%)
Showing nodes accounting for 610ms, 100% of 610ms total
Showing top 12 nodes out of 71
      flat  flat%   sum%        cum   cum%
     270ms 44.26% 44.26%      270ms 44.26%  runtime.pthread_cond_wait
     230ms 37.70% 81.97%      230ms 37.70%  runtime.pthread_cond_signal
      70ms 11.48% 93.44%       70ms 11.48%  runtime.usleep
      10ms  1.64% 95.08%       10ms  1.64%  google.golang.org/protobuf/internal/impl.sizeBytesNoZero
      10ms  1.64% 96.72%       10ms  1.64%  internal/runtime/atomic.(*UnsafePointer).Load
      10ms  1.64% 98.36%       10ms  1.64%  runtime.walltime
      10ms  1.64%   100%       10ms  1.64%  syscall.rawsyscalln
         0     0%   100%       10ms  1.64%  aequitas-ledger/internal/engine.(*Batcher).Collect
         0     0%   100%       20ms  3.28%  aequitas-ledger/internal/engine.(*EventLoop).Run
         0     0%   100%       10ms  1.64%  aequitas-ledger/internal/engine.(*EventLoop).processBatch
         0     0%   100%       20ms  3.28%  aequitas-ledger/internal/engine.NewLedger.func1
         0     0%   100%       10ms  1.64%  aequitas-ledger/internal/wal.(*Segment).Write
